Original_Value,Encoded_Value
Left-arm chinaman,0
Left-arm fast,1
Left-arm fast-medium,2
Left-arm medium-fast,3
Left-arm orthodox,4
Left-arm wrist-spin,5
Right-arm fast,6
Right-arm fast-medium,7
Right-arm legbreak,8
Right-arm medium,9
Right-arm medium-fast,10
Right-arm offbreak,11
