batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style,venue
5,70,32,22,1,145.45,4.55,1,8,13
5,70,32,22,1,145.45,4.55,1,8,14
6,15,30,23,1,130.43,4.35,1,8,6
6,15,30,23,1,130.43,4.35,1,8,7
6,15,30,23,1,130.43,4.35,1,8,10
6,15,30,23,1,130.43,4.35,1,8,14
6,15,30,23,1,130.43,4.35,1,8,16
7,8,44,29,1,151.72,3.45,0,3,4
7,8,44,29,1,151.72,3.45,0,3,11
7,8,44,29,1,151.72,3.45,0,3,16
7,8,44,29,1,151.72,3.45,0,3,19
7,17,39,32,1,121.88,3.12,0,9,10
7,17,39,32,1,121.88,3.12,0,9,16
7,17,39,32,1,121.88,3.12,0,9,19
7,24,63,31,1,203.23,3.23,0,6,0
7,24,63,31,1,203.23,3.23,0,6,14
7,24,63,31,1,203.23,3.23,0,6,16
7,45,33,20,1,165.0,5.0,0,11,4
7,45,33,20,1,165.0,5.0,0,11,10
7,45,33,20,1,165.0,5.0,0,11,13
7,45,33,20,1,165.0,5.0,0,11,16
7,52,43,44,1,97.73,2.27,0,6,3
7,52,43,44,1,97.73,2.27,0,6,14
7,52,43,44,1,97.73,2.27,0,6,16
7,52,43,44,1,97.73,2.27,0,6,20
7,54,57,27,1,211.11,3.7,0,3,4
7,54,57,27,1,211.11,3.7,0,3,13
7,54,57,27,1,211.11,3.7,0,3,16
7,65,28,20,1,140.0,5.0,0,11,13
7,65,28,20,1,140.0,5.0,0,11,16
7,65,28,20,1,140.0,5.0,0,11,17
7,75,51,26,1,196.15,3.85,0,11,0
7,75,51,26,1,196.15,3.85,0,11,6
7,75,51,26,1,196.15,3.85,0,11,7
7,75,51,26,1,196.15,3.85,0,11,13
7,82,33,28,3,117.86,10.71,0,2,10
7,82,33,28,3,117.86,10.71,0,2,13
7,82,33,28,3,117.86,10.71,0,2,16
7,82,33,28,3,117.86,10.71,0,2,19
7,82,33,28,3,117.86,10.71,0,2,20
7,87,17,23,1,73.91,4.35,0,10,0
7,87,17,23,1,73.91,4.35,0,10,4
7,87,17,23,1,73.91,4.35,0,10,7
7,87,17,23,1,73.91,4.35,0,10,14
7,87,17,23,1,73.91,4.35,0,10,16
7,89,33,20,0,165.0,0.0,0,11,9
7,89,33,20,0,165.0,0.0,0,11,16
7,89,33,20,0,165.0,0.0,0,11,19
7,92,40,33,2,121.21,6.06,0,2,2
7,92,40,33,2,121.21,6.06,0,2,9
7,92,40,33,2,121.21,6.06,0,2,14
7,92,40,33,2,121.21,6.06,0,2,16
7,92,40,33,2,121.21,6.06,0,2,19
8,29,14,21,1,66.67,4.76,0,6,0
8,29,14,21,1,66.67,4.76,0,6,19
9,1,40,20,0,200.0,0.0,0,6,0
9,3,51,25,0,204.0,0.0,0,4,0
9,3,51,25,0,204.0,0.0,0,4,14
9,8,37,32,2,115.62,6.25,0,3,3
