batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
A Badoni,Sandeep Sharma,21,12,0,175.0,0.0,Right-hand,Right-arm medium-fast
A Badoni,Shivam Mavi,1,1,0,100.0,0.0,Right-hand,Right-arm fast
A Badoni,Simarjeet Singh,4,2,0,200.0,0.0,Right-hand,Right-arm fast
A Badoni,Suyash Sharma,1,1,0,100.0,0.0,Right-hand,Right-arm legbreak
A Badoni,T Natarajan,38,20,0,190.0,0.0,Right-hand,Left-arm medium-fast
A Badoni,T Stubbs,2,3,1,66.67,33.33,Right-hand,Right-arm offbreak
A Badoni,TA Boult,7,14,3,50.0,21.43,Right-hand,Left-arm fast-medium
A Badoni,TG Southee,3,6,0,50.0,0.0,Right-hand,Right-arm fast-medium
A Badoni,TU Deshpande,23,22,2,104.55,9.09,Right-hand,Right-arm medium-fast
A Badoni,V Puthur,5,4,0,125.0,0.0,Right-hand,Right-arm medium
A Badoni,V Viyaskanth,5,2,0,250.0,0.0,Right-hand,Right-arm legbreak
A Badoni,VG Arora,2,2,0,100.0,0.0,Right-hand,Right-arm medium-fast
A Badoni,VR Aaron,2,3,1,66.67,33.33,Right-hand,Right-arm fast
A Badoni,Vijaykumar Vyshak,38,13,0,292.31,0.0,Right-hand,Right-arm medium-fast
A Badoni,WD Parnell,7,7,1,100.0,14.29,Right-hand,Left-arm fast-medium
A Badoni,WG Jacks,3,3,0,100.0,0.0,Right-hand,Right-arm offbreak
A Badoni,Washington Sundar,9,7,0,128.57,0.0,Right-hand,Right-arm offbreak
A Badoni,YS Chahal,17,18,2,94.44,11.11,Right-hand,Right-arm legbreak
A Badoni,Yash Dayal,0,1,1,0.0,100.0,Right-hand,Left-arm fast-medium
A Kamboj,AD Russell,4,1,0,400.0,0.0,Right-hand,Right-arm fast
A Kamboj,Akash Madhwal,5,3,0,166.67,0.0,Right-hand,Right-arm medium-fast
A Kamboj,HV Patel,2,3,0,66.67,0.0,Right-hand,Right-arm offbreak
A Kamboj,Harshit Rana,2,2,0,100.0,0.0,Right-hand,Right-arm fast-medium
A Kamboj,PJ Cummins,0,1,1,0.0,100.0,Right-hand,Right-arm fast
A Kamboj,VG Arora,3,4,0,75.0,0.0,Right-hand,Right-arm medium-fast
A Kamboj,YS Chahal,0,1,1,0.0,100.0,Right-hand,Right-arm legbreak
A Manohar,A Mishra,1,3,1,33.33,33.33,Right-hand,Right-arm offbreak
A Manohar,A Nortje,2,3,0,66.67,0.0,Right-hand,Right-arm fast
A Manohar,A Zampa,7,4,1,175.0,25.0,Right-hand,Right-arm legbreak
A Manohar,AD Russell,0,1,1,0.0,100.0,Right-hand,Right-arm fast
A Manohar,AR Patel,12,13,0,92.31,0.0,Right-hand,Left-arm orthodox
A Manohar,Avesh Khan,10,4,0,250.0,0.0,Right-hand,Right-arm fast
A Manohar,B Kumar,16,11,1,145.45,9.09,Right-hand,Right-arm medium
A Manohar,C Green,13,3,0,433.33,0.0,Right-hand,Right-arm medium-fast
A Manohar,DS Rathi,1,2,0,50.0,0.0,Right-hand,Right-arm medium-fast
A Manohar,HH Pandya,13,7,0,185.71,0.0,Right-hand,Right-arm medium-fast
A Manohar,I Sharma,2,4,0,50.0,0.0,Right-hand,Right-arm fast
A Manohar,JDS Neesham,10,7,0,142.86,0.0,Right-hand,Left-arm medium-fast
A Manohar,JJ Bumrah,16,12,0,133.33,0.0,Right-hand,Right-arm fast
A Manohar,JP Behrendorff,4,4,0,100.0,0.0,Right-hand,Left-arm fast-medium
A Manohar,K Kartikeya,1,3,1,33.33,33.33,Right-hand,Left-arm orthodox
A Manohar,KH Pandya,2,2,0,100.0,0.0,Right-hand,Left-arm orthodox
A Manohar,KK Ahmed,2,10,1,20.0,10.0,Right-hand,Left-arm fast-medium
A Manohar,KR Sen,5,3,1,166.67,33.33,Right-hand,Right-arm fast
A Manohar,Kuldeep Yadav,13,19,1,68.42,5.26,Right-hand,Left-arm chinaman
A Manohar,M Jansen,7,7,0,100.0,0.0,Right-hand,Left-arm fast-medium
A Manohar,M Theekshana,3,6,1,50.0,16.67,Right-hand,Right-arm offbreak
A Manohar,MJ Santner,5,12,0,41.67,0.0,Right-hand,Left-arm orthodox
A Manohar,MM Sharma,1,1,0,100.0,0.0,Right-hand,Right-arm medium-fast
A Manohar,Mukesh Choudhary,9,6,0,150.0,0.0,Right-hand,Left-arm medium-fast
A Manohar,Mukesh Kumar,2,3,0,66.67,0.0,Right-hand,Right-arm medium-fast
A Manohar,Mustafizur Rahman,1,2,1,50.0,50.0,Right-hand,Left-arm fast-medium
A Manohar,PP Chawla,19,10,0,190.0,0.0,Right-hand,Right-arm legbreak
A Manohar,PVD Chameera,5,3,0,166.67,0.0,Right-hand,Right-arm fast
A Manohar,R Ashwin,7,8,0,87.5,0.0,Right-hand,Right-arm offbreak
A Manohar,R Parag,1,2,0,50.0,0.0,Right-hand,Right-arm offbreak
A Manohar,R Shepherd,4,7,1,57.14,14.29,Right-hand,Right-arm fast-medium
A Manohar,RP Meredith,7,4,1,175.0,25.0,Right-hand,Right-arm fast
