batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand_encoded,bowling_style_encoded
DA Miller,CJ Jordan,36,21,0,171.43,0.0,0,7
DA Miller,Kuldeep Yadav,23,25,1,92.0,4.0,0,0
DA Miller,M Prasidh Krishna,54,32,0,168.75,0.0,0,6
DA Miller,R Ashwin,37,36,1,102.78,2.78,0,11
DA Miller,YS Chahal,60,32,0,187.5,0.0,0,8
DA Warner,Arshdeep Singh,39,29,0,134.48,0.0,0,3
DA Warner,B Kumar,17,30,2,56.67,6.67,0,9
DA Warner,DL Chahar,52,37,1,140.54,2.7,0,9
DA Warner,K Rabada,55,28,0,196.43,0.0,0,6
DA Warner,Mohammed Shami,22,25,1,88.0,4.0,0,6
DA Warner,Mohammed Siraj,39,22,0,177.27,0.0,0,6
DA Warner,R Ashwin,28,31,0,90.32,0.0,0,11
DA Warner,RA Jadeja,58,31,0,187.1,0.0,0,4
DA Warner,RD Chahar,27,21,0,128.57,0.0,0,8
DA Warner,SM Curran,37,28,1,132.14,3.57,0,3
DA Warner,SP Narine,37,29,0,127.59,0.0,0,11
DA Warner,TA Boult,54,45,0,120.0,0.0,0,2
DA Warner,TU Deshpande,17,20,0,85.0,0.0,0,10
DA Warner,YS Chahal,40,32,1,125.0,3.12,0,8
DJ Hooda,AR Patel,27,21,0,128.57,0.0,1,4
DJ Hooda,HH Pandya,29,24,1,120.83,4.17,1,10
DJ Hooda,R Ashwin,31,30,2,103.33,6.67,1,11
DJ Hooda,Rashid Khan,32,32,2,100.0,6.25,1,8
DJ Hooda,Shahbaz Ahmed,22,21,1,104.76,4.76,1,4
DJ Hooda,TA Boult,55,36,0,152.78,0.0,1,2
DJ Hooda,YS Chahal,49,34,3,144.12,8.82,1,8
DP Conway,A Nortje,30,21,1,142.86,4.76,0,6
DP Conway,B Kumar,17,21,0,80.95,0.0,0,9
DP Conway,GJ Maxwell,28,24,0,116.67,0.0,0,11
DP Conway,KK Ahmed,32,26,1,123.08,3.85,0,2
DP Conway,Kuldeep Yadav,43,20,0,215.0,0.0,0,0
DP Conway,M Jansen,69,36,0,191.67,0.0,0,2
DP Conway,Noor Ahmad,23,23,1,100.0,4.35,0,5
Dhruv Jurel,KH Pandya,23,25,0,92.0,0.0,1,4
Dhruv Jurel,PJ Cummins,37,20,1,185.0,5.0,1,6
Dhruv Jurel,Suyash Sharma,25,20,0,125.0,0.0,1,8
F du Plessis,AD Russell,34,21,0,161.9,0.0,1,6
F du Plessis,AR Patel,18,20,1,90.0,5.0,1,4
F du Plessis,Abhishek Sharma,38,29,0,131.03,0.0,1,4
F du Plessis,Arshdeep Singh,62,55,1,112.73,1.82,1,3
F du Plessis,Avesh Khan,50,36,1,138.89,2.78,1,6
F du Plessis,B Kumar,62,39,0,158.97,0.0,1,9
F du Plessis,CV Varun,69,48,2,143.75,4.17,1,8
F du Plessis,Harpreet Brar,66,38,1,173.68,2.63,1,4
F du Plessis,JD Unadkat,56,28,1,200.0,3.57,1,3
F du Plessis,JO Holder,44,33,2,133.33,6.06,1,7
F du Plessis,JP Behrendorff,42,20,0,210.0,0.0,1,2
F du Plessis,KH Pandya,45,42,1,107.14,2.38,1,4
F du Plessis,KK Ahmed,38,23,1,165.22,4.35,1,2
F du Plessis,LH Ferguson,69,36,0,191.67,0.0,1,6
F du Plessis,M Prasidh Krishna,36,37,2,97.3,5.41,1,6
F du Plessis,M Theekshana,24,26,1,92.31,3.85,1,11
F du Plessis,Mohammed Shami,54,34,1,158.82,2.94,1,6
F du Plessis,Mustafizur Rahman,30,25,1,120.0,4.0,1,2
F du Plessis,PJ Cummins,73,38,2,192.11,5.26,1,6
F du Plessis,PP Chawla,27,26,0,103.85,0.0,1,8
F du Plessis,R Ashwin,45,40,0,112.5,0.0,1,11
F du Plessis,RA Jadeja,35,20,0,175.0,0.0,1,4
F du Plessis,RD Chahar,40,33,0,121.21,0.0,1,8
F du Plessis,Rashid Khan,17,29,2,58.62,6.9,1,8
F du Plessis,Ravi Bishnoi,83,49,1,169.39,2.04,1,8
F du Plessis,SP Narine,34,39,1,87.18,2.56,1,11
F du Plessis,Sandeep Sharma,65,46,1,141.3,2.17,1,10
F du Plessis,TA Boult,80,66,2,121.21,3.03,1,2
F du Plessis,YS Chahal,27,28,2,96.43,7.14,1,8
F du Plessis,Yash Dayal,20,21,1,95.24,4.76,1,2
GJ Maxwell,AR Patel,40,30,0,133.33,0.0,1,4
GJ Maxwell,Avesh Khan,47,23,0,204.35,0.0,1,6
GJ Maxwell,CV Varun,50,33,5,151.52,15.15,1,8
GJ Maxwell,KH Pandya,30,20,2,150.0,10.0,1,4
GJ Maxwell,R Ashwin,50,32,3,156.25,9.38,1,11
GJ Maxwell,RA Jadeja,35,21,2,166.67,9.52,1,4
GJ Maxwell,RD Chahar,47,28,0,167.86,0.0,1,8
GJ Maxwell,Rashid Khan,41,28,1,146.43,3.57,1,8
GJ Maxwell,Ravi Bishnoi,37,20,1,185.0,5.0,1,8
GJ Maxwell,SP Narine,15,26,2,57.69,7.69,1,11
GJ Maxwell,TA Boult,27,23,1,117.39,4.35,1,2
