batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
B Sai Sudharsan,Sandeep Sharma,31,33,0,93.94,0.0,Left-hand,Right-arm medium-fast
B Sai Sudharsan,T Natarajan,47,20,1,235.0,5.0,Left-hand,Left-arm medium-fast
B Sai Sudharsan,TA Boult,43,39,2,110.26,5.13,Left-hand,Left-arm fast-medium
B Sai Sudharsan,TU Deshpande,65,41,2,158.54,4.88,Left-hand,Right-arm medium-fast
B Sai Sudharsan,Yash Dayal,28,30,0,93.33,0.0,Left-hand,Left-arm fast-medium
C Green,Noor Ahmad,38,22,1,172.73,4.55,Right-hand,Left-arm wrist-spin
C Green,R Ashwin,20,21,2,95.24,9.52,Right-hand,Right-arm offbreak
D Padikkal,Arshdeep Singh,51,35,2,145.71,5.71,Left-hand,Left-arm medium-fast
D Padikkal,C Sakariya,30,25,0,120.0,0.0,Left-hand,Left-arm medium-fast
D Padikkal,DL Chahar,50,24,0,208.33,0.0,Left-hand,Right-arm medium
D Padikkal,HH Pandya,17,28,1,60.71,3.57,Left-hand,Right-arm medium-fast
D Padikkal,JO Holder,23,22,0,104.55,0.0,Left-hand,Right-arm fast-medium
D Padikkal,K Rabada,48,26,0,184.62,0.0,Left-hand,Right-arm fast
D Padikkal,Mustafizur Rahman,48,32,1,150.0,3.12,Left-hand,Left-arm fast-medium
D Padikkal,PVD Chameera,25,22,0,113.64,0.0,Left-hand,Right-arm fast
D Padikkal,PWH de Silva,41,28,0,146.43,0.0,Left-hand,Right-arm offbreak
D Padikkal,RA Jadeja,44,35,1,125.71,2.86,Left-hand,Left-arm orthodox
D Padikkal,RD Chahar,21,22,0,95.45,0.0,Left-hand,Right-arm legbreak
D Padikkal,Rashid Khan,18,26,3,69.23,11.54,Left-hand,Right-arm legbreak
D Padikkal,Ravi Bishnoi,34,27,1,125.93,3.7,Left-hand,Right-arm legbreak
D Padikkal,SN Thakur,21,25,2,84.0,8.0,Left-hand,Right-arm medium-fast
D Padikkal,TU Deshpande,42,20,0,210.0,0.0,Left-hand,Right-arm medium-fast
D Padikkal,Umran Malik,16,25,2,64.0,8.0,Left-hand,Right-arm fast
DA Miller,Avesh Khan,54,32,2,168.75,6.25,Left-hand,Right-arm fast
DA Miller,CJ Jordan,36,21,0,171.43,0.0,Left-hand,Right-arm fast-medium
DA Miller,Kuldeep Yadav,23,25,1,92.0,4.0,Left-hand,Left-arm chinaman
DA Miller,M Prasidh Krishna,54,32,0,168.75,0.0,Left-hand,Right-arm fast
DA Miller,R Ashwin,37,36,1,102.78,2.78,Left-hand,Right-arm offbreak
DA Miller,YS Chahal,60,32,0,187.5,0.0,Left-hand,Right-arm legbreak
DA Warner,Arshdeep Singh,39,29,0,134.48,0.0,Left-hand,Left-arm medium-fast
DA Warner,B Kumar,17,30,2,56.67,6.67,Left-hand,Right-arm medium
DA Warner,DL Chahar,52,37,1,140.54,2.7,Left-hand,Right-arm medium
DA Warner,K Rabada,55,28,0,196.43,0.0,Left-hand,Right-arm fast
DA Warner,Mohammed Shami,22,25,1,88.0,4.0,Left-hand,Right-arm fast
DA Warner,Mohammed Siraj,39,22,0,177.27,0.0,Left-hand,Right-arm fast
DA Warner,R Ashwin,28,31,0,90.32,0.0,Left-hand,Right-arm offbreak
DA Warner,RA Jadeja,58,31,0,187.1,0.0,Left-hand,Left-arm orthodox
DA Warner,RD Chahar,27,21,0,128.57,0.0,Left-hand,Right-arm legbreak
DA Warner,SM Curran,37,28,1,132.14,3.57,Left-hand,Left-arm medium-fast
DA Warner,SP Narine,37,29,0,127.59,0.0,Left-hand,Right-arm offbreak
DA Warner,TA Boult,54,45,0,120.0,0.0,Left-hand,Left-arm fast-medium
DA Warner,TU Deshpande,17,20,0,85.0,0.0,Left-hand,Right-arm medium-fast
DA Warner,YS Chahal,40,32,1,125.0,3.12,Left-hand,Right-arm legbreak
DJ Hooda,AR Patel,27,21,0,128.57,0.0,Right-hand,Left-arm orthodox
DJ Hooda,HH Pandya,29,24,1,120.83,4.17,Right-hand,Right-arm medium-fast
DJ Hooda,R Ashwin,31,30,2,103.33,6.67,Right-hand,Right-arm offbreak
DJ Hooda,Rashid Khan,32,32,2,100.0,6.25,Right-hand,Right-arm legbreak
DJ Hooda,Shahbaz Ahmed,22,21,1,104.76,4.76,Right-hand,Left-arm orthodox
DJ Hooda,TA Boult,55,36,0,152.78,0.0,Right-hand,Left-arm fast-medium
DJ Hooda,YS Chahal,49,34,3,144.12,8.82,Right-hand,Right-arm legbreak
