total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand_encoded,bowling_style_encoded,batsman,bowler
47,22,2,213.64,9.09,0,6,69,61
73,41,1,178.05,2.44,0,11,69,65
43,21,1,204.76,4.76,0,10,69,71
37,21,1,176.19,4.76,0,8,69,72
34,24,1,141.67,4.17,0,2,69,92
55,37,0,148.65,0,1,4,70,3
22,22,0,100,0,1,6,70,29
10,21,4,47.62,19.05,1,7,70,32
38,20,0,190,0,1,6,70,34
50,34,3,147.06,8.82,1,0,70,38
51,22,0,231.82,0,1,6,70,44
6,22,0,27.27,0,1,2,70,53
36,24,0,150,0,1,11,70,65
27,24,0,112.5,0,1,4,70,67
31,22,0,140.91,0,1,8,70,70
33,25,0,132,0,1,10,70,74
45,32,1,140.62,3.12,1,2,70,82
25,24,2,104.17,8.33,1,8,70,91
66,37,1,178.38,2.7,1,3,71,8
28,25,0,112,0,1,6,71,9
30,31,2,96.77,6.45,1,9,71,10
39,24,0,162.5,0,1,8,71,15
25,21,2,119.05,9.52,1,11,71,21
18,20,0,90,0,1,6,71,29
21,21,2,100,9.52,1,7,71,30
26,20,2,130,10,1,6,71,34
33,28,1,117.86,3.57,1,4,71,36
74,55,1,134.55,1.82,1,2,71,37
23,24,0,95.83,0,1,10,71,49
59,32,0,184.38,0,1,6,71,51
21,24,1,87.5,4.17,1,6,71,52
45,23,0,195.65,0,1,2,71,53
43,23,1,186.96,4.35,1,10,71,55
38,32,3,118.75,9.38,1,11,71,64
27,20,1,135,5,1,11,71,65
22,29,1,75.86,3.45,1,4,71,67
77,56,0,137.5,0,1,8,71,70
49,25,0,196,0,1,8,71,72
31,20,1,155,5,1,10,71,74
27,37,0,72.97,0,1,11,71,75
28,23,1,121.74,4.35,1,6,71,79
31,22,1,140.91,4.55,1,3,71,81
40,26,0,153.85,0,1,6,71,85
31,20,0,155,0,1,8,71,91
50,22,0,227.27,0,1,10,71,93
34,20,1,170,5,1,9,72,10
45,24,0,187.5,0,1,7,72,32
41,26,0,157.69,0,1,5,72,59
25,21,1,119.05,4.76,1,4,72,67
65,48,0,135.42,0,1,4,73,3
51,41,1,124.39,2.44,1,3,73,8
65,51,4,127.45,7.84,1,6,73,9
45,44,3,102.27,6.82,1,9,73,10
42,27,0,155.56,0,1,8,73,15
86,65,6,132.31,9.23,1,9,73,17
18,20,1,90,5,1,10,73,20
61,47,1,129.79,2.13,1,11,73,21
36,28,0,128.57,0,1,4,73,22
29,22,1,131.82,4.55,1,6,73,24
31,27,0,114.81,0,1,3,73,28
19,23,2,82.61,8.7,1,6,73,29
