batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style,venue
AK Markram,HH Pandya,26,20,1,130.0,5.0,Right-hand,Right-arm medium-fast,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
AK Markram,HH Pandya,26,20,1,130.0,5.0,Right-hand,Right-arm medium-fast,"Dr DY Patil Sports Academy, Mumbai"
AK Markram,HH Pandya,26,20,1,130.0,5.0,Right-hand,Right-arm medium-fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,Kuldeep Yadav,32,21,1,152.38,4.76,Right-hand,Left-arm chinaman,"Arun Jaitley Stadium, Delhi"
AK Markram,Kuldeep Yadav,32,21,1,152.38,4.76,Right-hand,Left-arm chinaman,"Brabourne Stadium, Mumbai"
AK Markram,Kuldeep Yadav,32,21,1,152.38,4.76,Right-hand,Left-arm chinaman,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,LH Ferguson,41,25,1,164.0,4.0,Right-hand,Right-arm fast,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
AK Markram,LH Ferguson,41,25,1,164.0,4.0,Right-hand,Right-arm fast,"Dr DY Patil Sports Academy, Mumbai"
AK Markram,LH Ferguson,41,25,1,164.0,4.0,Right-hand,Right-arm fast,"M Chinnaswamy Stadium, Bengaluru"
AK Markram,LH Ferguson,41,25,1,164.0,4.0,Right-hand,Right-arm fast,"Wankhede Stadium, Mumbai"
AK Markram,M Theekshana,43,32,1,134.38,3.12,Right-hand,Right-arm offbreak,"MA Chidambaram Stadium, Chepauk, Chennai"
AK Markram,M Theekshana,43,32,1,134.38,3.12,Right-hand,Right-arm offbreak,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,M Theekshana,43,32,1,134.38,3.12,Right-hand,Right-arm offbreak,"Sawai Mansingh Stadium, Jaipur"
AK Markram,MA Starc,26,20,0,130.0,0.0,Right-hand,Left-arm fast,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
AK Markram,MA Starc,26,20,0,130.0,0.0,Right-hand,Left-arm fast,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
AK Markram,MA Starc,26,20,0,130.0,0.0,Right-hand,Left-arm fast,"MA Chidambaram Stadium, Chepauk, Chennai"
AK Markram,Mohammed Siraj,43,30,0,143.33,0.0,Right-hand,Right-arm fast,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
AK Markram,Mohammed Siraj,43,30,0,143.33,0.0,Right-hand,Right-arm fast,"Narendra Modi Stadium, Ahmedabad"
AK Markram,Mohammed Siraj,43,30,0,143.33,0.0,Right-hand,Right-arm fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,Mohammed Siraj,43,30,0,143.33,0.0,Right-hand,Right-arm fast,Sharjah Cricket Stadium
AK Markram,Mohammed Siraj,43,30,0,143.33,0.0,Right-hand,Right-arm fast,"Wankhede Stadium, Mumbai"
AK Markram,RA Jadeja,27,24,0,112.5,0.0,Right-hand,Left-arm orthodox,"MA Chidambaram Stadium, Chepauk, Chennai"
AK Markram,RA Jadeja,27,24,0,112.5,0.0,Right-hand,Left-arm orthodox,"Maharashtra Cricket Association Stadium, Pune"
AK Markram,RA Jadeja,27,24,0,112.5,0.0,Right-hand,Left-arm orthodox,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,RD Chahar,24,24,1,100.0,4.17,Right-hand,Right-arm legbreak,"Dr DY Patil Sports Academy, Mumbai"
AK Markram,RD Chahar,24,24,1,100.0,4.17,Right-hand,Right-arm legbreak,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,RD Chahar,24,24,1,100.0,4.17,Right-hand,Right-arm legbreak,"Zayed Cricket Stadium, Abu Dhabi"
AK Markram,Rashid Khan,27,25,0,108.0,0.0,Right-hand,Right-arm legbreak,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
AK Markram,Rashid Khan,27,25,0,108.0,0.0,Right-hand,Right-arm legbreak,"Narendra Modi Stadium, Ahmedabad"
AK Markram,Rashid Khan,27,25,0,108.0,0.0,Right-hand,Right-arm legbreak,Sharjah Cricket Stadium
AK Markram,Rashid Khan,27,25,0,108.0,0.0,Right-hand,Right-arm legbreak,"Wankhede Stadium, Mumbai"
AK Markram,SP Narine,47,54,1,87.04,1.85,Right-hand,Right-arm offbreak,"Brabourne Stadium, Mumbai"
AK Markram,SP Narine,47,54,1,87.04,1.85,Right-hand,Right-arm offbreak,Dubai International Cricket Stadium
AK Markram,SP Narine,47,54,1,87.04,1.85,Right-hand,Right-arm offbreak,"Eden Gardens, Kolkata"
AK Markram,SP Narine,47,54,1,87.04,1.85,Right-hand,Right-arm offbreak,"MA Chidambaram Stadium, Chepauk, Chennai"
AK Markram,SP Narine,47,54,1,87.04,1.85,Right-hand,Right-arm offbreak,"Maharashtra Cricket Association Stadium, Pune"
